text,clean_text,label,binary_label
"teman teman dekat saya saat sma sering berbisik saat ada saya dan menjauh perlahan, $saya kira mereka tidak menyukai saya dan mengomongi saya dibelakang saya, ternyata benar$","teman teman dekat saya saat sma sering berbisik saat ada saya dan menjauh perlahan, $saya kira mereka tidak menyukai saya dan mengomongi saya dibelakang saya, ternyata benar$",Mind Reading,Ya
"Saya belum bisa bergaul dengan luwes dengan sesama. Selanjutnya,saya mencoba untuk mencoba lebih terbuka kepada sesama dan beggitu selanjutnya sampai pada akhirnya sampai pada titik yang dimana saya berpikir bahwa saya memang selalu berperilakuan seperti ini,tertutup. Pernah suatu saat ,saya berpikir saya akan berubah tapi setelah bertahun -tahun percobaan,kenapa perilaku ini sangat sulit diubah ya? $Dengan adanya perilaku ini membuat orang lain sulit berteman dengan saya.$","saya belum bisa bergaul dengan luwes dengan sesama. selanjutnya,saya mencoba untuk mencoba lebih terbuka kepada sesama dan beggitu selanjutnya sampai pada akhirnya sampai pada titik yang dimana saya berpikir bahwa saya memang selalu berperilakuan seperti ini,tertutup. pernah suatu saat ,saya berpikir saya akan berubah tapi setelah bertahun -tahun percobaan,kenapa perilaku ini sangat sulit diubah ya? $dengan adanya perilaku ini membuat orang lain sulit berteman dengan saya.$",Personalization and Blame,Ya
"Tapi tetap saja saya merasa seperti ""orang luar"".","tapi tetap saja saya merasa seperti ""orang luar"".",Emotional Reasoning,Ya
Paling ya saat mengenal orang baru saja dan ada sesuatu hal yg kurang nyaman yg kita rasakan,paling ya saat mengenal orang baru saja dan ada sesuatu hal yg kurang nyaman yg kita rasakan,No Distortion,Tidak
"$Banyak yang bilang bahwa saya memiliki paras yang manis, namun ada seorang teman yang bilang jika saya tidak memiliki bulu di badan pasti akan terlihat lebih ""perempuan"" dan cantik. Sampai sekarang saya terus kepikiran$ dan saya jadi suka mewaxing bulu di kaki dan tangan saya","$banyak yang bilang bahwa saya memiliki paras yang manis, namun ada seorang teman yang bilang jika saya tidak memiliki bulu di badan pasti akan terlihat lebih ""perempuan"" dan cantik. sampai sekarang saya terus kepikiran$ dan saya jadi suka mewaxing bulu di kaki dan tangan saya",Mental filter,Ya
"pada saat saya mencuri mangga ,kemudian di kejar dan didapat sehingga di marahi","pada saat saya mencuri mangga ,kemudian di kejar dan didapat sehingga di marahi",No Distortion,Tidak
"Mungkin sama dalam hal pembelajaran, ketika gagal atau dapet nilai yg jelek atau dalam masalah2 yg kita alami","mungkin sama dalam hal pembelajaran, ketika gagal atau dapet nilai yg jelek atau dalam masalah2 yg kita alami",No Distortion,Tidak
"Saya pernah melakukan kesalahan, kemarin saat presentasi ketika dosen memberikan pertanyaan saat itu saya bisa menjawab pertanyaan tersebut tetapi saya malah menyuruh teman saya untuk menjawab dan saya yang memberikan dia jawaban karena saat itu saya lagi sakit, dan pada akhirnya saya mendapat nilai C dan saua merasa saya melalkukan kesalahan uang berat","saya pernah melakukan kesalahan, kemarin saat presentasi ketika dosen memberikan pertanyaan saat itu saya bisa menjawab pertanyaan tersebut tetapi saya malah menyuruh teman saya untuk menjawab dan saya yang memberikan dia jawaban karena saat itu saya lagi sakit, dan pada akhirnya saya mendapat nilai c dan saua merasa saya melalkukan kesalahan uang berat",No Distortion,Tidak
Saya pernah mengalami suatu peristiwa dimana saya tidak sengaja menghancurkan pelinggih yang ad dirumah orang lain dengan bola.dan setelah peristiwa itu saya merasa bersalah karena tidak mengganti rugi pelinggih tersebut.,saya pernah mengalami suatu peristiwa dimana saya tidak sengaja menghancurkan pelinggih yang ad dirumah orang lain dengan bola.dan setelah peristiwa itu saya merasa bersalah karena tidak mengganti rugi pelinggih tersebut.,No Distortion,Tidak
Temen kelas saya bercandanya terlalu berlebih-lebihan dan itu membuat saya berpikir orng tersebut tidak ush di temani.,temen kelas saya bercandanya terlalu berlebih-lebihan dan itu membuat saya berpikir orng tersebut tidak ush di temani.,No Distortion,Tidak
"Dulu saya hanya ingin melanjutkan studi saya di Fasilkom UI. Saya mengalami breakdown karena setelah 3x seleksi (SNBP, SNBT, Mandiri) tidak diterima oleh PTN impian saya. Karena menganggap $jika tidak UI, maka saya akan mengecewakan orangtua dan tidak mungkin menjadi orang sukses.$","dulu saya hanya ingin melanjutkan studi saya di fasilkom ui. saya mengalami breakdown karena setelah 3x seleksi (snbp, snbt, mandiri) tidak diterima oleh ptn impian saya. karena menganggap $jika tidak ui, maka saya akan mengecewakan orangtua dan tidak mungkin menjadi orang sukses.$",All-or-nothing,Ya
"Jika tidak, aku lebih suka tidak berteman.","jika tidak, aku lebih suka tidak berteman.",All-or-nothing,Ya
"Saya pernah melambai kepada teman saya di jalan tapi dia tidak meresponnya ,disana saya berpikir mungkin dia tidak melihat saya atau dia kurang yakin itu bahwa saya","saya pernah melambai kepada teman saya di jalan tapi dia tidak meresponnya ,disana saya berpikir mungkin dia tidak melihat saya atau dia kurang yakin itu bahwa saya",No Distortion,Tidak
$saya sering menganggap sebuah kemenangan itu hanya karena pesertanya sedikit$ dan hanya saya yg mengikuti perlombaan tersebut.,$saya sering menganggap sebuah kemenangan itu hanya karena pesertanya sedikit$ dan hanya saya yg mengikuti perlombaan tersebut.,Discounting the positives,Ya
"Teman saya pernah memuji saya karen mendapatkan nilai yang bagus, namun salah satu teman saya mengkritik saya, $saya memikirkan kritikan teman saya ketimbang punyian dari teman satunya$","teman saya pernah memuji saya karen mendapatkan nilai yang bagus, namun salah satu teman saya mengkritik saya, $saya memikirkan kritikan teman saya ketimbang punyian dari teman satunya$",Mental filter,Ya
Ketika menyapa teman dan ternyata teman tidak mendengar $saya langsung merasa dia sombong$,ketika menyapa teman dan ternyata teman tidak mendengar $saya langsung merasa dia sombong$,Mind Reading,Ya
"dulu, saya pernah menyatakan perasaan saya melalui secarik kertas kepada teman sekelas saya semasa sekolah. hasilnya memang tidak seindah bunga mawar. dan bahkan hal tersebut tersebar di kelas saya sehingga saya sangat malu, karna hal tersebut menjadi lelucon teman-teman saya (saya suka pada teman saya, bukan bagian ditolak). $Sejak saat itu saya memilih untuk tidak akan lagi mengekspresikan rasa suka/kagum saya pada lawan jenis.$","dulu, saya pernah menyatakan perasaan saya melalui secarik kertas kepada teman sekelas saya semasa sekolah. hasilnya memang tidak seindah bunga mawar. dan bahkan hal tersebut tersebar di kelas saya sehingga saya sangat malu, karna hal tersebut menjadi lelucon teman-teman saya (saya suka pada teman saya, bukan bagian ditolak). $sejak saat itu saya memilih untuk tidak akan lagi mengekspresikan rasa suka/kagum saya pada lawan jenis.$",Mental filter,Ya
Awalnya saya menerima sebuah kegagalan itu/melebeli diri dan orang lain sebagai $aku adalah orang yang tidak pantas sukses$ ketika gagal di kedinasan. Dan teman saya sukses ketika lulus kedinasan tahun ini sesuai keinginannya,awalnya saya menerima sebuah kegagalan itu/melebeli diri dan orang lain sebagai $aku adalah orang yang tidak pantas sukses$ ketika gagal di kedinasan. dan teman saya sukses ketika lulus kedinasan tahun ini sesuai keinginannya,Labeling,Ya
Saya pernah menhalami hal yang sama persis seperti yang ada pada contoh di atas.,saya pernah menhalami hal yang sama persis seperti yang ada pada contoh di atas.,No Distortion,Tidak
Saya rasa teman tersebut tidak mengajak saya jalan-jalan sehingga saya merasa ditolak.,saya rasa teman tersebut tidak mengajak saya jalan-jalan sehingga saya merasa ditolak.,Emotional Reasoning,Ya
$Saat saya memasak saya salah memasukan campuran saya merasa seperti itu kesalahan terbesar$,$saat saya memasak saya salah memasukan campuran saya merasa seperti itu kesalahan terbesar$,Magnification or Minimization,Ya
Untuk membuat orang kagum terhadap kita,untuk membuat orang kagum terhadap kita,No Distortion,Tidak
$seharusnya saya harus belajar dari pengalaman pengalam sebelumnya agar perristiwa ini tidak terjadi lagi$,$seharusnya saya harus belajar dari pengalaman pengalam sebelumnya agar perristiwa ini tidak terjadi lagi$,Should statement,Ya
"Suatu kali, saya mendapat nilai yang sangat rendah di salah satu mata pelajaran saat ujian akhir. Meskipun nilai ujian harian saya bagus, saya pikir saya melakukan kesalahan dalam mata pelajaran ini karena saya tidak mendapatkan nilai yang bagus di setiap ujian.","suatu kali, saya mendapat nilai yang sangat rendah di salah satu mata pelajaran saat ujian akhir. meskipun nilai ujian harian saya bagus, saya pikir saya melakukan kesalahan dalam mata pelajaran ini karena saya tidak mendapatkan nilai yang bagus di setiap ujian.",Magnification or Minimization,Ya
"terjadi saat ulangan fisika di kelas, $ulangan harian shock karena nilai anjlok dan menganggap ini akan terjadi untuk diri saya di ulangan selanjutnya$, saya payah, saya gagal padahal sebenarnya ada banyak kesempatan untuk introspeksi diri dan fokus ke medan perang yang masih tersisa sebelum krisis percaya diri di belakang garis perang.","terjadi saat ulangan fisika di kelas, $ulangan harian shock karena nilai anjlok dan menganggap ini akan terjadi untuk diri saya di ulangan selanjutnya$, saya payah, saya gagal padahal sebenarnya ada banyak kesempatan untuk introspeksi diri dan fokus ke medan perang yang masih tersisa sebelum krisis percaya diri di belakang garis perang.",Overgeneralization,Ya
"Saya pernah menolak tawaran untuk menjadi anggota OSIS di SMA karena saya berpikir pekerjaannya akan sulit. Akan tetapi, setelah berjalannya waktu ternyata menjadi anggota OSIS tidak seburuk yabg saya pikirkan. Di sana saya berpikir, $seharusnya saya mengambil saja tawaran itu.$","saya pernah menolak tawaran untuk menjadi anggota osis di sma karena saya berpikir pekerjaannya akan sulit. akan tetapi, setelah berjalannya waktu ternyata menjadi anggota osis tidak seburuk yabg saya pikirkan. di sana saya berpikir, $seharusnya saya mengambil saja tawaran itu.$",Should statement,Ya
"Saya pernah mengikuti ujian yang terkenal kesulitannya, namun saya berhasil mendapatkan nilai yang memuaskan dan diatas rata-rata. $Saat itu saya berpikir hal itu hanya sebuah keberuntungan$","saya pernah mengikuti ujian yang terkenal kesulitannya, namun saya berhasil mendapatkan nilai yang memuaskan dan diatas rata-rata. $saat itu saya berpikir hal itu hanya sebuah keberuntungan$",Discounting the positives,Ya
$Berpikir Bahwa Teman Teman Tongkrongan Suka Membicarakan Saya Dibelakang$ Karena Pernah Mendengar Salah Satu Teman Saya Begitu,$berpikir bahwa teman teman tongkrongan suka membicarakan saya dibelakang$ karena pernah mendengar salah satu teman saya begitu,Mind Reading,Ya
saya pernah merasa gagal karena mendapat nilai B+ pada satu semester sedangkan nilai lainnya saya mendapat nilai A,saya pernah merasa gagal karena mendapat nilai b+ pada satu semester sedangkan nilai lainnya saya mendapat nilai a,No Distortion,Tidak
"Saya sudah sangat aktif dalam suatu mata kuliah namun nilai akhir hanya mendapat 79 (B+), dan syarat untuk menjadi A harus menjual apple watch milik dosen","saya sudah sangat aktif dalam suatu mata kuliah namun nilai akhir hanya mendapat 79 (b+), dan syarat untuk menjadi a harus menjual apple watch milik dosen",No Distortion,Tidak
"$Saya perna di kucilkan di tempat kerja saya, dimana saat saya menyapa mereka malah mereka tidakeresponnya sama sekali.$","$saya perna di kucilkan di tempat kerja saya, dimana saat saya menyapa mereka malah mereka tidakeresponnya sama sekali.$",Mind Reading,Ya
"misalnya tidak di tegur sapa atau orang terdiam, $jadi merasa menyalahkan diri kenapa aku gak asik atau baper sendiri
$ padahah mungkin orang lain sedang sibuk bukan cuek","misalnya tidak di tegur sapa atau orang terdiam, $jadi merasa menyalahkan diri kenapa aku gak asik atau baper sendiri $ padahah mungkin orang lain sedang sibuk bukan cuek",Personalization and Blame,Ya
"Tidak ada,saya adalah orang yang sangat jarang memiliki presepektif seperti itu.kita juga tidak bisa jugje orang karna pemikiran atau pemahaman kita berbeda.","tidak ada,saya adalah orang yang sangat jarang memiliki presepektif seperti itu.kita juga tidak bisa jugje orang karna pemikiran atau pemahaman kita berbeda.",No Distortion,Tidak
Kejadiannya baru saja terjadi beberapa hari yang lalu ketika kakak kedua saya memberitahu kalau dia baru saja menerimaa uang dari kakak pertama saya dan saya tidak disaat itu $saya merasa kalau kakak pertama saya tidak lagi menyukai saya sehingga ia tidak mengirimkannya pada ku$,kejadiannya baru saja terjadi beberapa hari yang lalu ketika kakak kedua saya memberitahu kalau dia baru saja menerimaa uang dari kakak pertama saya dan saya tidak disaat itu $saya merasa kalau kakak pertama saya tidak lagi menyukai saya sehingga ia tidak mengirimkannya pada ku$,Emotional Reasoning,Ya
Ketika saya mendapatkan nilai jelek saya sangat kecewa karena saya sudah berusaha semaksimal mungkin dan berharap mendapatkan nilai yang memuaskan tetapi tidak,ketika saya mendapatkan nilai jelek saya sangat kecewa karena saya sudah berusaha semaksimal mungkin dan berharap mendapatkan nilai yang memuaskan tetapi tidak,No Distortion,Tidak
"Sebagai seseorang yang tidak mudah dalam bersosialisasi, dulu saya sempat berpikir bahwa apabila $saya pintar maka saya akan memiliki banyak teman. Sebaliknya, apabila saya biasa saja (tidak pintar) maka tidak ada teman yang akan mau berkenalan dengan saya.$ Namun, hal tersebut ternyata hanya omong kosong. Buktinya, pertemanan sehat hingga saat ini masih terjalin diantara saya dengan teman-teman saya semasa SMA. Sesungguhnya, teman sejati tidak akan memerlukan alasan untuk bertahan.","sebagai seseorang yang tidak mudah dalam bersosialisasi, dulu saya sempat berpikir bahwa apabila $saya pintar maka saya akan memiliki banyak teman. sebaliknya, apabila saya biasa saja (tidak pintar) maka tidak ada teman yang akan mau berkenalan dengan saya.$ namun, hal tersebut ternyata hanya omong kosong. buktinya, pertemanan sehat hingga saat ini masih terjalin diantara saya dengan teman-teman saya semasa sma. sesungguhnya, teman sejati tidak akan memerlukan alasan untuk bertahan.",All-or-nothing,Ya
"Saat saya selesai menjawab sebuah pertanyaan dalam suatu ajang lomba duta jegeg bagus, dimana saya setelah selesai melakukan sesi tanya jawab, saya memiliki pemikiran $“seharusnya saya tidak menjawab dengan panjang lebar seperti itu”$","saat saya selesai menjawab sebuah pertanyaan dalam suatu ajang lomba duta jegeg bagus, dimana saya setelah selesai melakukan sesi tanya jawab, saya memiliki pemikiran $“seharusnya saya tidak menjawab dengan panjang lebar seperti itu”$",Should statement,Ya
Suatu hari saya mengikuti kompetisi. Semua bekerja keras untuk memenangkan kompetisi tersebut namun memang belum takdirnya untuk menang. tetapi $saya merasa bersalah karena tidak bisa memenangkan kompetisi itu$,suatu hari saya mengikuti kompetisi. semua bekerja keras untuk memenangkan kompetisi tersebut namun memang belum takdirnya untuk menang. tetapi $saya merasa bersalah karena tidak bisa memenangkan kompetisi itu$,Personalization and Blame,Ya
saya merasakan hal yang sama saat sma $saya pernah mendapatkan nilai kurang pada ujian harian padahal nilai uts dan uas saya bagus saya selalu overthinking saya tidak akan mendapat nilai bagus di rapot$,saya merasakan hal yang sama saat sma $saya pernah mendapatkan nilai kurang pada ujian harian padahal nilai uts dan uas saya bagus saya selalu overthinking saya tidak akan mendapat nilai bagus di rapot$,Fortune-telling,Ya
$Saya merasa setiap ujian matematika pasti akan mendapatkan nilai yang rendah$,$saya merasa setiap ujian matematika pasti akan mendapatkan nilai yang rendah$,Fortune-telling,Ya
"Saya rasa saya harus masuk universitas itu, dan jika saya tidak masuk, saya rela tidak masuk universitas tahun ini dan kembali lagi tahun depan.","saya rasa saya harus masuk universitas itu, dan jika saya tidak masuk, saya rela tidak masuk universitas tahun ini dan kembali lagi tahun depan.",All-or-nothing,Ya
"Setiap kali saya liburan semasa kecil, saya tidak pernah mengingat baik mereka karena saya dulu berpikir waktu belajar saya malah berkurang","setiap kali saya liburan semasa kecil, saya tidak pernah mengingat baik mereka karena saya dulu berpikir waktu belajar saya malah berkurang",No Distortion,Tidak
"Saat pembentukan kelompok biasanya mereka selalu memilih kelompoknya sendiri dan mencari teman-teman terbaiknya, hal tersebut yang membuat $saya berfikir apakah ada yang salah sama saya padahal saya jika mengerjakan tugas sesuai dan selesai$","saat pembentukan kelompok biasanya mereka selalu memilih kelompoknya sendiri dan mencari teman-teman terbaiknya, hal tersebut yang membuat $saya berfikir apakah ada yang salah sama saya padahal saya jika mengerjakan tugas sesuai dan selesai$",Mind Reading,Ya
"Saya sedang mengerjakan tugas dan berpikir ""$seharusnya saya bisa kerjakan nanti$"". Akhirnya saya tidak mengerjakan tugas dan dihukum.","saya sedang mengerjakan tugas dan berpikir ""$seharusnya saya bisa kerjakan nanti$"". akhirnya saya tidak mengerjakan tugas dan dihukum.",Should statement,Ya
Saya pernah mempunyai model rambut baru yang dimana ada $beberapa teman saya yg memuji bahwa saya cocok dengan potongan at model rambut tersebut namun ada seorang teman yang mengatakan bahwa saya kelihatan aneh dan tidak cocok dengan potongan rambut tersebut yang membuat saya kepikiran dan menyesal memotong rambut saya.$,saya pernah mempunyai model rambut baru yang dimana ada $beberapa teman saya yg memuji bahwa saya cocok dengan potongan at model rambut tersebut namun ada seorang teman yang mengatakan bahwa saya kelihatan aneh dan tidak cocok dengan potongan rambut tersebut yang membuat saya kepikiran dan menyesal memotong rambut saya.$,Mental filter,Ya
"$Ak gagal lulus ujian sbmptn berpikir bahwa ak anak yang bodoh sehingga merasa gagal menjadi anak$, dan merasa pasrah dan rela kuliah dimana saja asalkan dapat","$ak gagal lulus ujian sbmptn berpikir bahwa ak anak yang bodoh sehingga merasa gagal menjadi anak$, dan merasa pasrah dan rela kuliah dimana saja asalkan dapat",Labeling,Ya
"Selalu merendahkan diri, merasa bahwa potensi yang dimiliki selalu kurang pada diri sendiri.","selalu merendahkan diri, merasa bahwa potensi yang dimiliki selalu kurang pada diri sendiri.",No Distortion,Tidak
"Pernah saat saya mendapat kelompok yang cukup buruk di suatu matapelajaran saat SMA, saya merasa nilai yang akan kami dapatkan jelek juga","pernah saat saya mendapat kelompok yang cukup buruk di suatu matapelajaran saat sma, saya merasa nilai yang akan kami dapatkan jelek juga",No Distortion,Tidak
"Menceritakan Masalah dengan Drama Berlebihan

Orang yang suka membesar-besarkan masalah cenderung menceritakan ceritanya dengan drama yang berlebihan. Mereka mungkin menambahkan detail-detail cerita atau bereaksi secara berlebihan dalam upaya membuat masalah terdengar lebih serius daripada sebenarnya.",menceritakan masalah dengan drama berlebihan orang yang suka membesar-besarkan masalah cenderung menceritakan ceritanya dengan drama yang berlebihan. mereka mungkin menambahkan detail-detail cerita atau bereaksi secara berlebihan dalam upaya membuat masalah terdengar lebih serius daripada sebenarnya.,No Distortion,Tidak
Saya merasa tertekan dan kehilangan motivasi untuk belajar.,saya merasa tertekan dan kehilangan motivasi untuk belajar.,Magnification or Minimization,Ya
"Ketika saya hendak mengikuti sebuah kompetisi, saya pernah gagal mendapatkan juara sedangka teman-teman saya dapat semua. Sejak itu saya selalu merasa tidak percaya diri dengan diri sendiri.","ketika saya hendak mengikuti sebuah kompetisi, saya pernah gagal mendapatkan juara sedangka teman-teman saya dapat semua. sejak itu saya selalu merasa tidak percaya diri dengan diri sendiri.",No Distortion,Tidak
peristiwa saya biasanya suka mengapresiasi siapapun karena $saya merasa seharusnya orang terdekat saya juga melakukan hal yang sama terhadap saya$ tetapi ternyata tidak,peristiwa saya biasanya suka mengapresiasi siapapun karena $saya merasa seharusnya orang terdekat saya juga melakukan hal yang sama terhadap saya$ tetapi ternyata tidak,Should statement,Ya
"Saya mempunyai $banyak teman yang selalu membantu saya, namun ketika teman saya melakukan kesalahan terhadap saya, saya cenderung terus mengingat kesalahannya tersebut$","saya mempunyai $banyak teman yang selalu membantu saya, namun ketika teman saya melakukan kesalahan terhadap saya, saya cenderung terus mengingat kesalahannya tersebut$",Mental filter,Ya
Saya terkadang merasa candaan teman saya tidak lucu jadi $saya anggap dia garing$,saya terkadang merasa candaan teman saya tidak lucu jadi $saya anggap dia garing$,Labeling,Ya
"saya awalnya putus karena saya sudah bosan dengan pacar saya, selanjutnya saya berpikir pacaran tidak penting, sampai sekarang saya belum punya pacar","saya awalnya putus karena saya sudah bosan dengan pacar saya, selanjutnya saya berpikir pacaran tidak penting, sampai sekarang saya belum punya pacar",No Distortion,Tidak
"Saya berpikir apa yang saya dapatkan adalah hasil kerja keras saya, padahal ini semua hanya titipan Tuhan","saya berpikir apa yang saya dapatkan adalah hasil kerja keras saya, padahal ini semua hanya titipan tuhan",No Distortion,Tidak
"Saya pernah tidak remedi dikelas saat mata pelajaran matematika disaay sebagian besar teman teman saya remedi, dan $saya berpikir saya hanya kebetulan beruntung tidak remedi.$","saya pernah tidak remedi dikelas saat mata pelajaran matematika disaay sebagian besar teman teman saya remedi, dan $saya berpikir saya hanya kebetulan beruntung tidak remedi.$",Discounting the positives,Ya
