text,clean_text,label,label_final,binary_label,label_merge
"Di kelas 4-6, nilai raporku anjlok, dan saat itu aku merasa gagal dalam studiku.","di kelas 4-6, nilai raporku anjlok, dan saat itu aku merasa gagal dalam studiku.",Magnification or Minimization,Mental filter,Ya,Magnification or Minimization → Ya
Pada saat bermain sepak bola disana saya menjadi penjaga gawang yang dimana pada saat itu saya kedepan membawa bola dan di rebut oleh lawan sehingga gawang saya menjadi kebobolan,pada saat bermain sepak bola disana saya menjadi penjaga gawang yang dimana pada saat itu saya kedepan membawa bola dan di rebut oleh lawan sehingga gawang saya menjadi kebobolan,No Distortion,No Distortion,Tidak,No Distortion → Tidak
saya mendapat nilai kecil saat ulangan matematika. $saya berpikir bahwa di ulangan selanjutnya saya juga akan mendapat nilai kecil$,saya mendapat nilai kecil saat ulangan matematika. $saya berpikir bahwa di ulangan selanjutnya saya juga akan mendapat nilai kecil$,Overgeneralization,Jumping to Conclusions,Ya,Overgeneralization → Ya
"Saat pertama kali masuk SMA saya ada kegiatan foto kartu pelajar di sekolah. Saya bertemu teman saya dan ia bertanya ""Seragam nya baru ya?"" saya meng iya kan. Lalu dia bilang ""Gendutan ya pake seragam tu"". setelah itu saya langsung bercermin dan menanyakan ke semua orang apakah benar saya gendutan?","saat pertama kali masuk sma saya ada kegiatan foto kartu pelajar di sekolah. saya bertemu teman saya dan ia bertanya ""seragam nya baru ya?"" saya meng iya kan. lalu dia bilang ""gendutan ya pake seragam tu"". setelah itu saya langsung bercermin dan menanyakan ke semua orang apakah benar saya gendutan?",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saat kecil saya sering melihat video dimana orang dibunuh, kecelakaan, perang dllnya jadi Dari hall ini saya merasa bahwa saya telah desensitisasi dengan hal"" tersebut","saat kecil saya sering melihat video dimana orang dibunuh, kecelakaan, perang dllnya jadi dari hall ini saya merasa bahwa saya telah desensitisasi dengan hal"" tersebut",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya yakin akan mendapat nilai bagus tapi ternyata hanya standar. Karena candaan teman saya jadi terus memikirkannya padahal nilai saya memenuhi standar.,saya yakin akan mendapat nilai bagus tapi ternyata hanya standar. karena candaan teman saya jadi terus memikirkannya padahal nilai saya memenuhi standar.,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya seringkali ramah dengan orang di saat pertama kali ketemu. Namun responnya kurang baik. Dengan keadaan seperti itu $saya cenderung berpikir bahwa dia bukan orang baik.$,saya seringkali ramah dengan orang di saat pertama kali ketemu. namun responnya kurang baik. dengan keadaan seperti itu $saya cenderung berpikir bahwa dia bukan orang baik.$,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
Ketika Saya Bermain Badminton Dengan Baik Tetapi $Berpikir Bahwa Masih Sangat Banyak Pemain Yang Lebih Hebat$ Dan Diri Saya Belum Ada Apa Apanya,ketika saya bermain badminton dengan baik tetapi $berpikir bahwa masih sangat banyak pemain yang lebih hebat$ dan diri saya belum ada apa apanya,Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
Sepertinya tidak pernah. Saya mengapresiasi diri saya sendiri akan segala hal positif yang terjadi pada diri saya.,sepertinya tidak pernah. saya mengapresiasi diri saya sendiri akan segala hal positif yang terjadi pada diri saya.,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Dalam perlombaan $saya pernah berfikir saya seharusnya tidak melakukan kesalahan tersebut sehingga saya tidak menang$ dalam perlombaan tersebut dan membuat saya merasa malas untuk melakukan apapun yang berkaitan dengan hal tersebut,dalam perlombaan $saya pernah berfikir saya seharusnya tidak melakukan kesalahan tersebut sehingga saya tidak menang$ dalam perlombaan tersebut dan membuat saya merasa malas untuk melakukan apapun yang berkaitan dengan hal tersebut,Should statement,Should statement,Ya,Should statement → Ya
Saya kalah karena merasa minder dengan peserta lainnya.,saya kalah karena merasa minder dengan peserta lainnya.,Emotional Reasoning,Personalization and Blame,Ya,Emotional Reasoning → Ya
"teman saya mendapatkan nilai yang bagus dari saya, tetapi ia mengeluh dan tidak merasa puas dengan nilainya, saya pun berfikir bahwa sesuatu yang kita miliki harus kita syukuri karena tidak semua orang mendapatkan hal tersebut","teman saya mendapatkan nilai yang bagus dari saya, tetapi ia mengeluh dan tidak merasa puas dengan nilainya, saya pun berfikir bahwa sesuatu yang kita miliki harus kita syukuri karena tidak semua orang mendapatkan hal tersebut",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saya seringkali insecure, melihat potensi orang lain. Hal ini justru membuat saya kurang bersyukur dan tidak menyadari potensi dalam diri saya.","saya seringkali insecure, melihat potensi orang lain. hal ini justru membuat saya kurang bersyukur dan tidak menyadari potensi dalam diri saya.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"contohnya pada $satu pelajaran di sekolah saya tidak mengerti saya akan berfikir saat ada pelajaran itu lagi saya juga tidak akan bisa$ bahkan berfikir sampai tidak bisa mengerjakan tugasnya dan ujiannya, jika dari awal suda merasa tidak bisa.","contohnya pada $satu pelajaran di sekolah saya tidak mengerti saya akan berfikir saat ada pelajaran itu lagi saya juga tidak akan bisa$ bahkan berfikir sampai tidak bisa mengerjakan tugasnya dan ujiannya, jika dari awal suda merasa tidak bisa.",Overgeneralization,Jumping to Conclusions,Ya,Overgeneralization → Ya
"Saat mengambik matakuliah yang banyak mahasiswa ngulang jadi kefikiran mengulang di matakuliah"" yang bakal di ambil","saat mengambik matakuliah yang banyak mahasiswa ngulang jadi kefikiran mengulang di matakuliah"" yang bakal di ambil",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya pernah mencoba memakai setelan baju yang tidak pernah saya pakai sebelumnya. Lalu orang2 banyak yang bilang bahwa saya tidak cocok pakai setelan tersebut. $Lalu saya terus kepikiran kalimat perkataan mereka. Dan mengabaikan kalimat pujian dari orang lainnya.$,saya pernah mencoba memakai setelan baju yang tidak pernah saya pakai sebelumnya. lalu orang2 banyak yang bilang bahwa saya tidak cocok pakai setelan tersebut. $lalu saya terus kepikiran kalimat perkataan mereka. dan mengabaikan kalimat pujian dari orang lainnya.$,Mental filter,Mental filter,Ya,Mental filter → Ya
Saya hanya ingin mengerjakan sesuatu jika saya disuruh,saya hanya ingin mengerjakan sesuatu jika saya disuruh,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"ketika saya menjadi koor dalam satu panitia, ada salah satu bagian dari jobdesc yg tidak terlaksana dengan baik, sebagai koor tentu saya mempunya tanggung jawab yg lebih dari anggota saya, sehingga saat salah satu jobdesc tidak terlaksana tentu saya menyalahkan diri saya sendiri karna ceroboh","ketika saya menjadi koor dalam satu panitia, ada salah satu bagian dari jobdesc yg tidak terlaksana dengan baik, sebagai koor tentu saya mempunya tanggung jawab yg lebih dari anggota saya, sehingga saat salah satu jobdesc tidak terlaksana tentu saya menyalahkan diri saya sendiri karna ceroboh",Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
"Saya memresentasikan sebuah proyek saya ke senior saya di tempat magang. Proyek yang saya buat ternyata memiliki banyak error yang tidak ditangani dengan baik. Hal tersebut membuat saya mengatakan pada diri sendiri ""$seharusnya saya menghabiskan waktu saya untuk mencari celah yang ada di program/proyek saya$""","saya memresentasikan sebuah proyek saya ke senior saya di tempat magang. proyek yang saya buat ternyata memiliki banyak error yang tidak ditangani dengan baik. hal tersebut membuat saya mengatakan pada diri sendiri ""$seharusnya saya menghabiskan waktu saya untuk mencari celah yang ada di program/proyek saya$""",Should statement,Should statement,Ya,Should statement → Ya
"tidak pernah, menurut saya sekalipun apa yang saya bisa lakukan merupakan hal yang biasa-biasa saja dan bisa dilakukan oleh banyak orang, setidaknya saya punya sesuatu yang bernilai dan saya bisa lakukan, saya selalu menganggap positif hal tersebut.","tidak pernah, menurut saya sekalipun apa yang saya bisa lakukan merupakan hal yang biasa-biasa saja dan bisa dilakukan oleh banyak orang, setidaknya saya punya sesuatu yang bernilai dan saya bisa lakukan, saya selalu menganggap positif hal tersebut.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saat saya menjalani usaha yang pertama saya gagal. Dan percobaan ke 5 baru berhasil. Disana lah saya bisa berfikir dari 2 sisi. Sisi gagal dan sisi berhasil,saat saya menjalani usaha yang pertama saya gagal. dan percobaan ke 5 baru berhasil. disana lah saya bisa berfikir dari 2 sisi. sisi gagal dan sisi berhasil,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Ketika saya mengajak beberapa kali teman saya untuk jalan bareng dia selalu tidak bisa. Lalu suatu hari saya melihat dia pergi dengan teman lain. $Saya merasa saya seperti dijauhi.$ Lalu saya bertanya padanya tentang kejadian itu. Ternyata itu bukanlah temannya melainkan sepupu jauh yang baru datang dan selama ini dia sibuk menjadi panitia di sebuah event.,ketika saya mengajak beberapa kali teman saya untuk jalan bareng dia selalu tidak bisa. lalu suatu hari saya melihat dia pergi dengan teman lain. $saya merasa saya seperti dijauhi.$ lalu saya bertanya padanya tentang kejadian itu. ternyata itu bukanlah temannya melainkan sepupu jauh yang baru datang dan selama ini dia sibuk menjadi panitia di sebuah event.,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Ketika ikut tes SNBT untuk masuk PTN saya merasa jika tidak lolos maka saya sudah gagal.$ pilihannya waktu itu lolos PTN atau tidak usah kuliah sama sekali$, karena saya berasal dari keluarga menengah ke bawah dimana saya tidak ingin membebani orang tua dengan masuk jalur mandiri atau swasta.","ketika ikut tes snbt untuk masuk ptn saya merasa jika tidak lolos maka saya sudah gagal.$ pilihannya waktu itu lolos ptn atau tidak usah kuliah sama sekali$, karena saya berasal dari keluarga menengah ke bawah dimana saya tidak ingin membebani orang tua dengan masuk jalur mandiri atau swasta.",All-or-nothing,All-or-nothing,Ya,All-or-nothing → Ya
"$Ketika saya bertemu sama seseorang untuk pertama kali, saya akan menilai seseorang itu di bawah saya kemampuan$. Tetapi ketika sudah pernah diajak berkegiatan dia lebih dari saya kemampuannya.","$ketika saya bertemu sama seseorang untuk pertama kali, saya akan menilai seseorang itu di bawah saya kemampuan$. tetapi ketika sudah pernah diajak berkegiatan dia lebih dari saya kemampuannya.",Labeling,All-or-nothing,Ya,Labeling → Ya
"Saya ingin pulang setelah acara, sebelumnya saya pergi dengan teman saya (A) tetapi saat pulang teman saya (A) bilang tidak mengantar saya sampai ke kosdan hanya sampai jalan besar karena takut, alhasil saya meminta tolong teman saya (B) yang ada di kos untuk meminjam motor ke teman kos lain (C) dan menjemput saya. Ternyata saat saya pulang teman saya (A) berniat mengantar saya sampai ke kosan karena dia sudah meminta salah satu teman saya (D) yang ikut acara untuk menemaninya mengantar saya. Alhasil saya kebingungan karena saya sudah mau sampai ke kos dan teman saya (B) sudah ada di lokasi yang saya minta untuk tempat dia menjemput saya. Saya merasa bersalah telah meminta dia (B) menjemput saya dan meminjam motor, padahal teman saya (B) sudah bilang tidak apa-apa karena jaraknya dekat dan dia bisa gampang pulang. Lalu kalau diingat juga sebenernya tidak salah, karena saya tidak menerima konfirmasi apapun dari teman saya (A) bahwa dia mau mengantar saya sampai kos. Alhasil setelah saya sampai ke kos saya minta maaf ke semua teman saya karena merasa sangat merepotkan mereka.","saya ingin pulang setelah acara, sebelumnya saya pergi dengan teman saya (a) tetapi saat pulang teman saya (a) bilang tidak mengantar saya sampai ke kosdan hanya sampai jalan besar karena takut, alhasil saya meminta tolong teman saya (b) yang ada di kos untuk meminjam motor ke teman kos lain (c) dan menjemput saya. ternyata saat saya pulang teman saya (a) berniat mengantar saya sampai ke kosan karena dia sudah meminta salah satu teman saya (d) yang ikut acara untuk menemaninya mengantar saya. alhasil saya kebingungan karena saya sudah mau sampai ke kos dan teman saya (b) sudah ada di lokasi yang saya minta untuk tempat dia menjemput saya. saya merasa bersalah telah meminta dia (b) menjemput saya dan meminjam motor, padahal teman saya (b) sudah bilang tidak apa-apa karena jaraknya dekat dan dia bisa gampang pulang. lalu kalau diingat juga sebenernya tidak salah, karena saya tidak menerima konfirmasi apapun dari teman saya (a) bahwa dia mau mengantar saya sampai kos. alhasil setelah saya sampai ke kos saya minta maaf ke semua teman saya karena merasa sangat merepotkan mereka.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"saya memiliki keluarga yang tidak lengkap, ayah dan ibu saya bercerai jadi $saya berfikir saya tidak akan punya pasangan yg tetap bersama saya$","saya memiliki keluarga yang tidak lengkap, ayah dan ibu saya bercerai jadi $saya berfikir saya tidak akan punya pasangan yg tetap bersama saya$",Overgeneralization,Jumping to Conclusions,Ya,Overgeneralization → Ya
"Pada saat pertandingan taekwondo, saya mendapatkan juara 2. $saat saya di podium ke 2 saya merasa sangat gagal,kecewa, dan tidak menerima apa yang terjadi, saya terus menerus menyalahkan diri saya.$ padahal, mendapatkan juara 2 merupakan suatu achievment yang sudah bagus dan baik bagi saya.","pada saat pertandingan taekwondo, saya mendapatkan juara 2. $saat saya di podium ke 2 saya merasa sangat gagal,kecewa, dan tidak menerima apa yang terjadi, saya terus menerus menyalahkan diri saya.$ padahal, mendapatkan juara 2 merupakan suatu achievment yang sudah bagus dan baik bagi saya.",Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"Saya pernah mengalami suatu hal yang dimana saya merasa bersalah atas perbuatan saya yg dimana saat itu dirumah saya saat itu sedang melakukan pemasangan korden dan disana membutuhkan buah sebanyak 16 butir ,dan disana disaya disuruh untuk membeli baut sebanyak 16 butir, nh disana saat belanja saya salah dalam mengingat berapa baut yg ingin dibeli ,disana saya hanya membeli 8 baut saja","saya pernah mengalami suatu hal yang dimana saya merasa bersalah atas perbuatan saya yg dimana saat itu dirumah saya saat itu sedang melakukan pemasangan korden dan disana membutuhkan buah sebanyak 16 butir ,dan disana disaya disuruh untuk membeli baut sebanyak 16 butir, nh disana saat belanja saya salah dalam mengingat berapa baut yg ingin dibeli ,disana saya hanya membeli 8 baut saja",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saat membuat sebuah karya dari bahan bekas dengan berkelompok beberapa teman saya memuji karya saya dan salah satu teman saya mengkritik ada bagian yg kurang rapi jadinya temen” yg awalannya mengatakan bagus jadi tergiring opini,saat membuat sebuah karya dari bahan bekas dengan berkelompok beberapa teman saya memuji karya saya dan salah satu teman saya mengkritik ada bagian yg kurang rapi jadinya temen” yg awalannya mengatakan bagus jadi tergiring opini,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"teman saya terlalu banyak menceritakan hal hal yang tidak perlu untuk dieritakan dan terlalu banyak membahas hanya seputar dirinya sendiri, kemudian $teman saya yang lain mengatakan ia ""pick me"" dan saya menyetujuinya.$","teman saya terlalu banyak menceritakan hal hal yang tidak perlu untuk dieritakan dan terlalu banyak membahas hanya seputar dirinya sendiri, kemudian $teman saya yang lain mengatakan ia ""pick me"" dan saya menyetujuinya.$",Labeling,All-or-nothing,Ya,Labeling → Ya
"Saya pernah berfikir untuk mencelakai diri saya sendiri dengan cara melukai bagian tubuh, dikarenakan $saya merasa bahwa semua orang yang saya kenal tidak ada yang peduli dan menenangkan saya ketika saya sedang terpuruk.$ Dan sekarang saya pun selalu mempunyai keinginan untuk melukai diri saya ketika sedang terpuruk. Itu kadang membuat saya terasa terganggu di karenakan saya ingin lepas dari pikiran aneh yang saya miliki ini.","saya pernah berfikir untuk mencelakai diri saya sendiri dengan cara melukai bagian tubuh, dikarenakan $saya merasa bahwa semua orang yang saya kenal tidak ada yang peduli dan menenangkan saya ketika saya sedang terpuruk.$ dan sekarang saya pun selalu mempunyai keinginan untuk melukai diri saya ketika sedang terpuruk. itu kadang membuat saya terasa terganggu di karenakan saya ingin lepas dari pikiran aneh yang saya miliki ini.",Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Andika melihat temannya dari jarak agak jauh dan melambai pada temannya. Temannya ternyata tidak membalas lambaiannya padahal mereka saling bertatapan. Andika berpikir “temanku itu tidak menyukaiku lagi”. Setelah sekian lama berpikir bahwa temannya tidak menyukainya, Andika memberanikan diri bertanya pada teman itu. Ternyata temannya tidak memakai kaca mata saat itu sehingga tidak mengenalinya.","andika melihat temannya dari jarak agak jauh dan melambai pada temannya. temannya ternyata tidak membalas lambaiannya padahal mereka saling bertatapan. andika berpikir “temanku itu tidak menyukaiku lagi”. setelah sekian lama berpikir bahwa temannya tidak menyukainya, andika memberanikan diri bertanya pada teman itu. ternyata temannya tidak memakai kaca mata saat itu sehingga tidak mengenalinya.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Dalam kehidupan saya, $peristiwa yang membuat saya berpikir bahwa saya adalah penyebab suatu masalah yaitu saat orang tua saya berdebat.$ Mereka membahas permasalahan ekonomi, yang dimana saat itu bertepatan dengan pembayaran uang kuliah tunggal saya.","dalam kehidupan saya, $peristiwa yang membuat saya berpikir bahwa saya adalah penyebab suatu masalah yaitu saat orang tua saya berdebat.$ mereka membahas permasalahan ekonomi, yang dimana saat itu bertepatan dengan pembayaran uang kuliah tunggal saya.",Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Saya pernah melakukan presentasi di depan kelas, tapi ada satu kata guru yang membuat saya kepikiran sampai sekarang","saya pernah melakukan presentasi di depan kelas, tapi ada satu kata guru yang membuat saya kepikiran sampai sekarang",No Distortion,No Distortion,Tidak,No Distortion → Tidak
$Seharusnya saya belajar lebih giat saat utbk agar diterima di jurusan dan universitas yang saya inginkan$,$seharusnya saya belajar lebih giat saat utbk agar diterima di jurusan dan universitas yang saya inginkan$,Should statement,Should statement,Ya,Should statement → Ya
Saat bermain game biasanya saya hanya melihat kalah dan menang,saat bermain game biasanya saya hanya melihat kalah dan menang,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Kalo disaya tidak ada,saya selalu belajar mensyukuri semua hal.dengan mensyukuri kehidupan lebih baik dijalankan,tidak berekspetasi tinggi.","kalo disaya tidak ada,saya selalu belajar mensyukuri semua hal.dengan mensyukuri kehidupan lebih baik dijalankan,tidak berekspetasi tinggi.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Aku pernah besar-besarin masalah dimana aku gadiajak hangout sama dua temenku dan mereka diskusi buat hangout lagi tanpa kasih tau aku.,aku pernah besar-besarin masalah dimana aku gadiajak hangout sama dua temenku dan mereka diskusi buat hangout lagi tanpa kasih tau aku.,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya lebih merasa jika saya bisa membuat orang di dekat saya senang saya pun ikut merasa senang,saya lebih merasa jika saya bisa membuat orang di dekat saya senang saya pun ikut merasa senang,All-or-nothing,All-or-nothing,Ya,All-or-nothing → Ya
Setiap saat ketika saya bekerja sama dengan banyak orang.,setiap saat ketika saya bekerja sama dengan banyak orang.,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"saya digoda laki laki saat pergi ke gym, saya tidak pernah pergi kesana lagi setelah itu (saya laki laki)","saya digoda laki laki saat pergi ke gym, saya tidak pernah pergi kesana lagi setelah itu (saya laki laki)",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"$saya mendapat nilai rendah di tengah semester, tetapi berhasil dengan baik di ujian akhir. Ia berpikir, ""Ada kesalahan besar dalam perjalanan kuliahku.""$","$saya mendapat nilai rendah di tengah semester, tetapi berhasil dengan baik di ujian akhir. ia berpikir, ""ada kesalahan besar dalam perjalanan kuliahku.""$",Magnification or Minimization,Mental filter,Ya,Magnification or Minimization → Ya
